lat,lon,temp_avg,temp_min,temp_max,pm_1_avg,pm_1_min,pm_1_max,pm_2_5_avg,pm_2_5_min,pm_2_5_max,pm_10_avg,pm_10_min,pm_10_max,hum_avg,hum_min,hum_max,date
52.183,4.84,10.557971,10.056839,11.560234,12.144535,5.408378,16.11882,12.846,5.7191563,17.046167,12.850412,5.7191563,17.047539,76.94514,73.771255,78.672455,2022-11-04
52.184,4.84,11.77119,11.77119,11.77119,7.247615,7.247615,7.247615,7.6640797,7.6640797,7.6640797,7.6640797,7.6640797,7.6640797,72.86029,72.86029,72.86029,2022-11-04
52.185,4.84,10.95674,10.198367,11.715114,11.926505,8.520287,15.332723,12.61183,9.009882,16.213778,12.61183,9.009882,16.213778,75.38948,72.38574,78.39322,2022-11-04
52.186,4.84,11.270948,10.185015,11.827267,8.135343,3.6867228,16.295506,8.62266,3.8985705,17.291409,8.646896,3.8985705,17.364119,73.65478,70.95291,78.35507,2022-11-04
52.187,4.84,10.978103,10.155642,11.800564,10.256741,3.492933,17.020548,10.892962,3.6936452,18.09228,10.950183,3.6936452,18.20672,74.33737,70.118256,78.55649,2022-11-04
52.19,4.84,11.31857,10.14229,12.49485,8.979686,3.5717494,14.387623,9.495684,3.776998,15.21437,9.495689,3.7770083,15.21437,73.73692,68.88379,78.59006,2022-11-04
52.191,4.84,12.49485,12.49485,12.49485,3.4291618,3.4291618,3.4291618,3.6262925,3.6262925,3.6262925,3.6263936,3.6263936,3.6263936,68.7724,68.7724,68.7724,2022-11-04
52.213,4.84,13.500228,13.464179,13.536278,4.418741,3.381369,5.456113,4.7413783,3.6215029,5.8612537,4.825319,3.6774814,5.973156,68.311584,68.21088,68.41229,2022-11-04
52.182,4.841,10.851263,10.086213,11.60296,10.028046,5.1599393,14.6114235,10.604578,5.4564414,15.451144,10.604942,5.4564414,15.4512825,76.09788,74.151215,78.020905,2022-11-04
52.183,4.841,10.864614,10.056839,11.672388,15.982504,13.790575,18.174433,16.900896,14.5830145,19.218779,16.900896,14.5830145,19.218779,76.04104,73.62019,78.46188,2022-11-04
52.185,4.841,11.80724,11.77119,11.843289,8.799862,8.088318,9.511406,9.305523,8.553092,10.057954,9.305523,8.553092,10.057954,72.68558,72.651245,72.71991,2022-11-04
52.186,4.841,10.971427,10.185015,11.757839,23.420477,14.619709,32.221245,24.766272,15.459791,34.072754,24.766272,15.459791,34.072754,75.30174,72.23773,78.36575,2022-11-04
52.191,4.841,11.295873,10.112916,12.478828,8.87678,3.5912468,14.1623125,9.387274,3.7984347,14.976112,9.387778,3.7994444,14.976112,73.527115,68.74036,78.31387,2022-11-04
52.213,4.841,13.1050205,12.828641,13.381399,6.478431,5.8057427,7.15112,6.9184647,6.2673693,7.5695605,7.0012345,6.4237223,7.578747,70.296776,68.75409,71.83946,2022-11-04
52.182,4.842,10.211718,10.211718,10.211718,13.847714,13.847714,13.847714,14.643443,14.643443,14.643443,14.643456,14.643456,14.643456,78.3154,78.3154,78.3154,2022-11-04
52.191,4.842,11.346608,10.22774,12.465476,8.648754,3.7697966,13.527712,9.149781,3.9945168,14.305046,9.154727,4.004409,14.305046,72.60852,67.835495,77.381546,2022-11-04
52.192,4.842,10.014114,10.014114,10.014114,13.412215,13.412215,13.412215,14.182913,14.182913,14.182913,14.182913,14.182913,14.182913,77.44563,77.44563,77.44563,2022-11-04
52.213,4.842,13.266575,12.871366,13.477531,5.079759,3.95969,6.877655,5.457996,4.3197756,7.2736354,5.5634494,4.4816685,7.27458,68.97738,67.5822,71.36034,2022-11-04
52.192,4.843,10.014114,10.014114,10.014114,13.691236,13.691236,13.691236,14.477966,14.477966,14.477966,14.477966,14.477966,14.477966,76.90393,76.90393,76.90393,2022-11-04
52.213,4.843,13.261234,12.785915,13.520256,6.1464615,5.480358,7.362021,6.679647,6.0850487,7.8064632,6.899487,6.426888,7.8326035,68.831406,67.41893,71.50224,2022-11-04
52.193,4.844,11.378652,9.931334,12.82063,12.002797,6.90798,14.266712,12.693543,7.3051443,15.086511,12.69481,7.3054132,15.086511,72.22056,67.71037,76.816956,2022-11-04
52.212,4.844,13.217174,12.898069,13.536278,5.488632,3.693085,7.2841797,5.923609,4.143164,7.704053,6.0696654,4.4336853,7.705646,69.140915,67.01915,71.26268,2022-11-04
